pais_no,pais,iso3,value,ingreso_min,ingreso_max
1,Mexico,MEX,0,0,0
1,Mexico,MEX,1,1,619
1,Mexico,MEX,2,620,1200
1,Mexico,MEX,3,1201,1600
1,Mexico,MEX,4,1601,2000
1,Mexico,MEX,5,2001,2400
1,Mexico,MEX,6,2401,2800
1,Mexico,MEX,7,2801,3400
1,Mexico,MEX,8,3401,3800
1,Mexico,MEX,9,3801,4300
1,Mexico,MEX,10,4301,4800
1,Mexico,MEX,11,4801,5400
1,Mexico,MEX,12,5401,6400
1,Mexico,MEX,13,6401,7600
1,Mexico,MEX,14,7601,9300
1,Mexico,MEX,15,9301,13000
1,Mexico,MEX,16,13000,
2,Guatemala,GTM,0,0,0
2,Guatemala,GTM,1,1,239
2,Guatemala,GTM,2,240,480
2,Guatemala,GTM,3,481,600
2,Guatemala,GTM,4,601,750
2,Guatemala,GTM,5,751,920
2,Guatemala,GTM,6,921,1070
2,Guatemala,GTM,7,1071,1230
2,Guatemala,GTM,8,1231,1460
2,Guatemala,GTM,9,1461,1770
2,Guatemala,GTM,10,1771,2150
2,Guatemala,GTM,11,2151,2500
2,Guatemala,GTM,12,2501,3000
2,Guatemala,GTM,13,3001,3700
2,Guatemala,GTM,14,3701,4730
2,Guatemala,GTM,15,4731,5500
2,Guatemala,GTM,16,5500,
3,El Salvador,SLV,0,0,0
3,El Salvador,SLV,1,1,39
3,El Salvador,SLV,2,40,65
3,El Salvador,SLV,3,66,85
3,El Salvador,SLV,4,86,105
3,El Salvador,SLV,5,106,120
3,El Salvador,SLV,6,121,215
3,El Salvador,SLV,7,216,290
3,El Salvador,SLV,8,291,370
3,El Salvador,SLV,9,371,445
3,El Salvador,SLV,10,446,520
3,El Salvador,SLV,11,521,595
3,El Salvador,SLV,12,596,670
3,El Salvador,SLV,13,671,750
3,El Salvador,SLV,14,751,825
3,El Salvador,SLV,15,826,900
3,El Salvador,SLV,16,900,
4,Honduras,HND,0,0,0
4,Honduras,HND,1,1,849
4,Honduras,HND,2,850,1400
4,Honduras,HND,3,1401,1900
4,Honduras,HND,4,1901,2450
4,Honduras,HND,5,2451,3000
4,Honduras,HND,6,3001,3600
4,Honduras,HND,7,3601,4400
4,Honduras,HND,8,4401,5000
4,Honduras,HND,9,5001,5800
4,Honduras,HND,10,5801,6600
4,Honduras,HND,11,6601,7700
4,Honduras,HND,12,7701,9000
4,Honduras,HND,13,9001,10600
