"iso3","count_respondents","scope","gender","quintile","indicator","value"
"ARG",1522,"country","all","total","access_water_piped_house",66.0972404730618
"ARG",1522,"country","all","total","access_water_piped_plot",1.83968462549277
"ARG",1522,"country","all","total","water_on_premises",69.053876478318
"ARG",1522,"country","all","total","water_distr",89.0932982917214
"ARG",1522,"country","all","total","consume_distr",67.9369250985545
"ARG",1522,"country","all","total","consume_delivered",0.328515111695138
"ARG",1522,"country","all","total","consume_impspring",0
"ARG",1522,"country","all","total","consume_impwell",6.37319316688568
"ARG",1522,"country","all","total","consume_irregularconnection",0.131406044678055
"ARG",1522,"country","all","total","consume_rain",0.788436268068331
"ARG",1522,"country","all","total","consume_unimproved",0.0657030223390276
"ARG",1522,"country","all","total","consume_publictap",0.197109067017083
"ARG",1522,"country","all","total","consume_other",1.9053876478318
"ARG",1522,"country","all","total","consume_bottled",22.2733245729304
"ARG",1522,"country","all","total","improved_w_access",98.0289093298292
"ARG",1522,"country","all","total","water_daily",86.1001317523057
"ARG",1522,"country","all","total","ou_distr",88.8010540184453
"ARG",1522,"country","all","total","ou_bottled",0.790513833992095
"ARG",1522,"country","all","total","ou_delivered",0.329380764163373
"ARG",1522,"country","all","total","ou_impspring",0
"ARG",1522,"country","all","total","ou_impwell",8.16864295125165
"ARG",1522,"country","all","total","ou_irregularconnection",0.131752305665349
"ARG",1522,"country","all","total","ou_publictap",0.197628458498024
"ARG",1522,"country","all","total","ou_rain",0.72463768115942
"ARG",1522,"country","all","total","ou_other",0.790513833992095
"ARG",1522,"country","all","total","ou_unimproved",0.0657030223390276
"ARG",1522,"country","all","total","improved_san",96.8462549277267
"ARG",1522,"country","all","total","improved_san_exclusive",99.868593955322
"ARG",1522,"country","all","total","no_san_access",0
"ARG",1522,"country","all","total","san_ecolatrine",0
"ARG",1522,"country","all","total","san_exclusive",96.9776609724047
"ARG",1522,"country","all","total","san_implatrine",0.337154416722859
"ARG",1522,"country","all","total","san_other",0.134861766689144
"ARG",1522,"country","all","total","san_septic",35.4686446392448
"ARG",1522,"country","all","total","san_sewer",63.5873229939312
"ARG",1522,"country","all","total","san_unimp",0.472016183412003
"ARG",1522,"country","all","total","sewage_contaminates",0.197109067017083
"BOL",1646,"country","all","total","access_water_piped_house",58.4447144592953
"BOL",1646,"country","all","total","access_water_piped_plot",16.4641555285541
"BOL",1646,"country","all","total","water_on_premises",76.913730255164
"BOL",1646,"country","all","total","water_distr",87.6670716889429
"BOL",1646,"country","all","total","consume_distr",74.9088699878493
"BOL",1646,"country","all","total","consume_delivered",1.21506682867558
"BOL",1646,"country","all","total","consume_impspring",0.425273390036452
"BOL",1646,"country","all","total","consume_impwell",3.46294046172539
"BOL",1646,"country","all","total","consume_irregularconnection",0.121506682867558
"BOL",1646,"country","all","total","consume_rain",0.789793438639125
"BOL",1646,"country","all","total","consume_unimproved",2.36938031591738
"BOL",1646,"country","all","total","consume_publictap",1.21506682867558
"BOL",1646,"country","all","total","consume_other",1.27582017010936
"BOL",1646,"country","all","total","consume_bottled",14.2162818955043
"BOL",1646,"country","all","total","improved_w_access",96.3547995139733
"BOL",1646,"country","all","total","water_daily",76.3387297633873
"BOL",1646,"country","all","total","ou_distr",87.0485678704857
"BOL",1646,"country","all","total","ou_bottled",0.74719800747198
"BOL",1646,"country","all","total","ou_delivered",1.99252801992528
"BOL",1646,"country","all","total","ou_impspring",0.37359900373599
"BOL",1646,"country","all","total","ou_impwell",3.9227895392279
"BOL",1646,"country","all","total","ou_irregularconnection",0.186799501867995
"BOL",1646,"country","all","total","ou_publictap",1.05853051058531
"BOL",1646,"country","all","total","ou_rain",0.684931506849315
"BOL",1646,"country","all","total","ou_other",1.36986301369863
"BOL",1646,"country","all","total","ou_unimproved",2.55164034021871
"BOL",1646,"country","all","total","improved_san",91.3730255164034
"BOL",1646,"country","all","total","improved_san_exclusive",97.0230862697448
"BOL",1646,"country","all","total","no_san_access",0.502828409805154
"BOL",1646,"country","all","total","san_ecolatrine",0.43997485857951
"BOL",1646,"country","all","total","san_exclusive",84.8858729179519
"BOL",1646,"country","all","total","san_implatrine",3.70835952231301
"BOL",1646,"country","all","total","san_other",1.75989943431804
"BOL",1646,"country","all","total","san_septic",22.5015713387806
"BOL",1646,"country","all","total","san_sewer",68.0703959773727
"BOL",1646,"country","all","total","san_unimp",3.01697045883092
"BOL",1646,"country","all","total","sewage_contaminates",2.0048602673147
"BRA",1452,"country","all","total","access_water_piped_house",58.4889691217891
"BRA",1452,"country","all","total","access_water_piped_plot",1.46752735390099
"BRA",1452,"country","all","total","water_on_premises",60.9190498859471
"BRA",1452,"country","all","total","water_distr",88.2045312509636
"BRA",1452,"country","all","total","consume_distr",59.9564964756901
"BRA",1452,"country","all","total","consume_delivered",0.595431802491434
"BRA",1452,"country","all","total","consume_impspring",0.570295948233662
"BRA",1452,"country","all","total","consume_impwell",7.00817260835004
"BRA",1452,"country","all","total","consume_irregularconnection",0
"BRA",1452,"country","all","total","consume_rain",0.367121607765648
"BRA",1452,"country","all","total","consume_unimproved",1.73737962725917
"BRA",1452,"country","all","total","consume_publictap",0.217530236598035
"BRA",1452,"country","all","total","consume_other",6.88770849436499
"BRA",1452,"country","all","total","consume_bottled",22.659863199247
"BRA",1452,"country","all","total","improved_w_access",91.3749118783758
"BRA",1452,"country","all","total","water_daily",77.0317330977332
"BRA",1452,"country","all","total","ou_distr",87.8837568934414
"BRA",1452,"country","all","total","ou_bottled",0.201747159942033
"BRA",1452,"country","all","total","ou_delivered",0.347687267636216
"BRA",1452,"country","all","total","ou_impspring",0.416662677763584
"BRA",1452,"country","all","total","ou_impwell",7.41222360168037
"BRA",1452,"country","all","total","ou_irregularconnection",0.0839881109088081
"BRA",1452,"country","all","total","ou_publictap",0.151529987157642
"BRA",1452,"country","all","total","ou_rain",0.251964332726424
"BRA",1452,"country","all","total","ou_other",1.52892867042226
"BRA",1452,"country","all","total","ou_unimproved",1.70939688103709
"BRA",1452,"country","all","total","improved_san",88.4202729750923
"BRA",1452,"country","all","total","improved_san_exclusive",99.7544870171799
"BRA",1452,"country","all","total","no_san_access",0.138401236802268
"BRA",1452,"country","all","total","san_ecolatrine",0
"BRA",1452,"country","all","total","san_exclusive",97.0118626813302
"BRA",1452,"country","all","total","san_implatrine",1.25662100574343
"BRA",1452,"country","all","total","san_other",3.27094216582591
"BRA",1452,"country","all","total","san_septic",26.482551407967
"BRA",1452,"country","all","total","san_sewer",66.9268587461112
"BRA",1452,"country","all","total","san_unimp",1.92462543755028
"BRA",1452,"country","all","total","sewage_contaminates",1.81606914882692
"CHL",1626,"country","all","total","access_water_piped_house",83.8253382533825
"CHL",1626,"country","all","total","access_water_piped_plot",0.4920049200492
"CHL",1626,"country","all","total","water_on_premises",84.5633456334563
"CHL",1626,"country","all","total","water_distr",97.6629766297663
"CHL",1626,"country","all","total","consume_distr",84.3173431734317
"CHL",1626,"country","all","total","consume_delivered",0.18450184501845
"CHL",1626,"country","all","total","consume_impspring",0.2460024600246
"CHL",1626,"country","all","total","consume_impwell",1.230012300123
"CHL",1626,"country","all","total","consume_irregularconnection",0.0615006150061501
"CHL",1626,"country","all","total","consume_rain",0.0615006150061501
"CHL",1626,"country","all","total","consume_unimproved",0.18450184501845
"CHL",1626,"country","all","total","consume_publictap",0.1230012300123
"CHL",1626,"country","all","total","consume_other",0.43050430504305
"CHL",1626,"country","all","total","consume_bottled",13.1611316113161
"CHL",1626,"country","all","total","improved_w_access",99.3849938499385
"CHL",1626,"country","all","total","water_daily",96.9808995686999
"CHL",1626,"country","all","total","ou_distr",97.4738139248306
"CHL",1626,"country","all","total","ou_bottled",0.184842883548983
"CHL",1626,"country","all","total","ou_delivered",0.246457178065311
"CHL",1626,"country","all","total","ou_impspring",0.246457178065311
"CHL",1626,"country","all","total","ou_impwell",1.04744300677757
"CHL",1626,"country","all","total","ou_irregularconnection",0.123228589032656
"CHL",1626,"country","all","total","ou_publictap",0.123228589032656
"CHL",1626,"country","all","total","ou_rain",0
"CHL",1626,"country","all","total","ou_other",0.246457178065311
"CHL",1626,"country","all","total","ou_unimproved",0.30750307503075
"CHL",1626,"country","all","total","improved_san",99.0159901599016
"CHL",1626,"country","all","total","improved_san_exclusive",99.8154981549816
"CHL",1626,"country","all","total","no_san_access",0
"CHL",1626,"country","all","total","san_ecolatrine",0.123533045089561
"CHL",1626,"country","all","total","san_exclusive",95.9950708564387
"CHL",1626,"country","all","total","san_implatrine",0.185299567634342
"CHL",1626,"country","all","total","san_other",0.308832612723904
"CHL",1626,"country","all","total","san_septic",7.96788140827671
"CHL",1626,"country","all","total","san_sewer",91.2291537986411
"CHL",1626,"country","all","total","san_unimp",0.185299567634342
"CHL",1626,"country","all","total","sewage_contaminates",0.18450184501845
"COL",1637,"country","all","total","access_water_piped_house",76.6035430665852
"COL",1637,"country","all","total","access_water_piped_plot",1.28283445326817
"COL",1637,"country","all","total","water_on_premises",79.4746487477092
"COL",1637,"country","all","total","water_distr",86.2553451435553
"COL",1637,"country","all","total","consume_distr",77.8863775198534
"COL",1637,"country","all","total","consume_delivered",0.244349419670128
"COL",1637,"country","all","total","consume_impspring",0.794135613927917
"COL",1637,"country","all","total","consume_impwell",3.11545510079414
"COL",1637,"country","all","total","consume_irregularconnection",0.0610873549175321
"COL",1637,"country","all","total","consume_rain",1.34392180818571
"COL",1637,"country","all","total","consume_unimproved",2.56566890653635
"COL",1637,"country","all","total","consume_publictap",0.427611484422724
"COL",1637,"country","all","total","consume_other",6.10873549175321
"COL",1637,"country","all","total","consume_bottled",7.45265729993891
"COL",1637,"country","all","total","improved_w_access",91.3255956017104
"COL",1637,"country","all","total","water_daily",72.7216748768473
"COL",1637,"country","all","total","ou_distr",84.5443349753695
"COL",1637,"country","all","total","ou_bottled",0.738916256157635
"COL",1637,"country","all","total","ou_delivered",0.184729064039409
"COL",1637,"country","all","total","ou_impspring",0.61576354679803
"COL",1637,"country","all","total","ou_impwell",3.63300492610837
"COL",1637,"country","all","total","ou_irregularconnection",0.061576354679803
"COL",1637,"country","all","total","ou_publictap",0.738916256157635
"COL",1637,"country","all","total","ou_rain",1.41625615763547
"COL",1637,"country","all","total","ou_other",4.80295566502463
"COL",1637,"country","all","total","ou_unimproved",3.2376298106292
"COL",1637,"country","all","total","improved_san",93.219303604154
"COL",1637,"country","all","total","improved_san_exclusive",99.2058643860721
"COL",1637,"country","all","total","no_san_access",0.374531835205993
"COL",1637,"country","all","total","san_ecolatrine",0.31210986267166
"COL",1637,"country","all","total","san_exclusive",94.6243127672572
"COL",1637,"country","all","total","san_implatrine",1.31086142322097
"COL",1637,"country","all","total","san_other",1.7478152309613
"COL",1637,"country","all","total","san_septic",13.4831460674157
"COL",1637,"country","all","total","san_sewer",79.9001248439451
"COL",1637,"country","all","total","san_unimp",2.87141073657928
"COL",1637,"country","all","total","sewage_contaminates",2.93219303604154
"CRI",1450,"country","all","total","access_water_piped_house",86.8965517241379
"CRI",1450,"country","all","total","access_water_piped_plot",0.344827586206897
"CRI",1450,"country","all","total","water_on_premises",87.3103448275862
"CRI",1450,"country","all","total","water_distr",88.7586206896552
"CRI",1450,"country","all","total","consume_distr",87.2413793103448
"CRI",1450,"country","all","total","consume_delivered",0
"CRI",1450,"country","all","total","consume_impspring",0.689655172413793
"CRI",1450,"country","all","total","consume_impwell",1.93103448275862
"CRI",1450,"country","all","total","consume_irregularconnection",0.0689655172413793
"CRI",1450,"country","all","total","consume_rain",0.0689655172413793
"CRI",1450,"country","all","total","consume_unimproved",1.10344827586207
"CRI",1450,"country","all","total","consume_publictap",0.275862068965517
"CRI",1450,"country","all","total","consume_other",7.58620689655172
"CRI",1450,"country","all","total","consume_bottled",1.03448275862069
"CRI",1450,"country","all","total","improved_w_access",91.3103448275862
"CRI",1450,"country","all","total","water_daily",87.972027972028
"CRI",1450,"country","all","total","ou_distr",88.8111888111888
"CRI",1450,"country","all","total","ou_bottled",0.20979020979021
"CRI",1450,"country","all","total","ou_delivered",0
"CRI",1450,"country","all","total","ou_impspring",0.909090909090909
"CRI",1450,"country","all","total","ou_impwell",1.88811188811189
"CRI",1450,"country","all","total","ou_irregularconnection",0.0699300699300699
"CRI",1450,"country","all","total","ou_publictap",0.20979020979021
"CRI",1450,"country","all","total","ou_rain",0.27972027972028
"CRI",1450,"country","all","total","ou_other",6.57342657342657
"CRI",1450,"country","all","total","ou_unimproved",1.03448275862069
"CRI",1450,"country","all","total","improved_san",91.8620689655172
"CRI",1450,"country","all","total","improved_san_exclusive",99.7241379310345
"CRI",1450,"country","all","total","no_san_access",0
"CRI",1450,"country","all","total","san_ecolatrine",0.0734753857457752
"CRI",1450,"country","all","total","san_exclusive",98.4126984126984
"CRI",1450,"country","all","total","san_implatrine",0.440852314474651
"CRI",1450,"country","all","total","san_other",0.881704628949302
"CRI",1450,"country","all","total","san_septic",68.4055841293167
"CRI",1450,"country","all","total","san_sewer",28.9493019838354
"CRI",1450,"country","all","total","san_unimp",1.24908155767818
"CRI",1450,"country","all","total","sewage_contaminates",1.03448275862069
"DOM",1500,"country","all","total","access_water_piped_house",1.6
"DOM",1500,"country","all","total","access_water_piped_plot",0.466666666666667
"DOM",1500,"country","all","total","water_on_premises",5.2
"DOM",1500,"country","all","total","water_distr",66.6
"DOM",1500,"country","all","total","consume_distr",2.06666666666667
"DOM",1500,"country","all","total","consume_delivered",2
"DOM",1500,"country","all","total","consume_impspring",0.133333333333333
"DOM",1500,"country","all","total","consume_impwell",0.466666666666667
"DOM",1500,"country","all","total","consume_irregularconnection",0
"DOM",1500,"country","all","total","consume_rain",1.13333333333333
"DOM",1500,"country","all","total","consume_unimproved",0.933333333333333
"DOM",1500,"country","all","total","consume_publictap",0.133333333333333
"DOM",1500,"country","all","total","consume_other",0.8
"DOM",1500,"country","all","total","consume_bottled",92.3333333333333
"DOM",1500,"country","all","total","improved_w_access",98.2666666666667
"DOM",1500,"country","all","total","water_daily",27.4324324324324
"DOM",1500,"country","all","total","ou_distr",67.2297297297297
"DOM",1500,"country","all","total","ou_bottled",13.4459459459459
"DOM",1500,"country","all","total","ou_delivered",4.72972972972973
"DOM",1500,"country","all","total","ou_impspring",0.0675675675675676
"DOM",1500,"country","all","total","ou_impwell",8.04054054054054
